City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Tasiilaq,83,GL,1568602536,47,65.61,-37.64,35.6,4.7
Bluff,0,AU,1568602547,23,-23.58,149.07,80.87,6.31
Gouyave,20,GD,1568603038,83,12.16,-61.73,82.4,9.17
Lufilufi,75,WS,1568603038,79,-13.87,-171.6,84.2,13.87
Port Elizabeth,20,US,1568603038,88,39.31,-74.98,73.99,2.13
Ancud,20,CL,1568602488,80,-41.87,-73.83,41.0,9.17
Saskylakh,100,RU,1568602535,81,71.97,114.09,36.77,7.4
Ribeira Grande,29,PT,1568603039,76,38.52,-28.7,71.69,17.16
Awbari,0,LY,1568603039,35,26.59,12.77,67.73,7.25
Vaini,75,IN,1568602539,94,15.34,74.49,73.4,4.7
Meiganga,96,CM,1568603039,97,6.52,14.29,64.31,0.56
Albany,90,US,1568602186,100,42.65,-73.75,66.2,5.82
Arraial do Cabo,40,BR,1568603040,94,-22.97,-42.02,71.6,17.22
Xichang,100,CN,1568603040,96,27.88,102.25,54.23,1.23
Provideniya,75,RU,1568602484,71,64.42,-173.23,51.8,6.71
Port Alfred,0,ZA,1568603040,86,-33.59,26.89,60.01,3.4
Cidreira,0,BR,1568603040,84,-30.17,-50.22,66.65,10.78
Katsuura,20,JP,1568603041,54,33.93,134.5,87.01,14.99
Padang,20,ID,1568603041,69,-0.92,100.36,78.8,1.12
East London,0,ZA,1568602981,41,-33.02,27.91,62.15,3.76
Victoria,75,BN,1568603041,70,5.28,115.24,86.0,4.7
Kutum,26,SD,1568603041,39,14.2,24.66,76.19,4.03
Hobart,75,AU,1568602526,49,-42.88,147.33,48.2,19.46
Cape Town,75,ZA,1568603042,93,-33.93,18.42,61.0,8.05
Mataura,100,NZ,1568602464,44,-46.19,168.86,57.0,8.99
Sao Miguel do Araguaia,61,BR,1568603042,23,-13.28,-50.16,79.97,5.61
Ushuaia,90,AR,1568602482,80,-54.81,-68.31,33.8,8.05
Busselton,80,AU,1568602541,39,-33.64,115.35,70.0,13.94
Punta Arenas,90,CL,1568603043,87,-53.16,-70.91,37.4,13.87
Moose Factory,20,CA,1568602926,100,51.26,-80.61,44.6,2.24
Barnstaple,90,GB,1568603043,100,51.08,-4.06,61.0,8.05
Egvekinot,100,RU,1568602855,72,66.32,-179.17,40.73,8.88
Khatanga,73,RU,1568603044,71,71.98,102.47,39.47,10.36
Vostok,96,RU,1568603044,69,46.45,135.83,58.73,7.74
Goundam,0,ML,1568603044,57,16.42,-3.66,85.19,14.76
Kruisfontein,0,ZA,1568603044,63,-34.0,24.73,53.33,4.27
Miracema do Tocantins,76,BR,1568603044,30,-9.56,-48.4,77.81,1.83
Thompson,40,CA,1568603040,77,55.74,-97.86,64.4,3.36
Ponta do Sol,0,BR,1568603045,51,-20.63,-46.0,69.17,6.91
Grindavik,40,IS,1568603045,60,63.84,-22.43,44.6,27.51
Morondava,0,MG,1568603045,75,-20.3,44.28,74.93,12.64
Amuntai,74,ID,1568602843,32,-2.42,115.25,97.97,2.55
Zhumadian,100,CN,1568603045,83,33.01,114.02,65.57,3.02
Lompoc,75,US,1568602475,87,34.64,-120.46,68.0,6.93
Hays,1,US,1568603046,60,38.88,-99.33,80.01,8.05
Placido de Castro,5,BR,1568603046,49,-10.34,-67.19,82.31,2.37
Faanui,90,PF,1568603046,76,-16.48,-151.75,76.91,15.48
Castro,20,CL,1568603046,80,-42.48,-73.76,41.0,9.17
Rikitea,22,PF,1568602469,77,-23.12,-134.97,67.91,19.39
Tuatapere,100,NZ,1568603047,46,-46.13,167.69,57.0,8.01
Yellowknife,75,CA,1568602535,70,62.45,-114.38,48.2,4.7
Saint-Joseph,0,FR,1568603047,77,43.56,6.97,71.6,3.36
Otane,41,NZ,1568603048,71,-39.89,176.62,55.0,8.01
Awjilah,0,LY,1568603048,66,29.14,21.3,65.57,9.82
Atuona,95,PF,1568602463,72,-9.8,-139.03,79.43,9.78
Nikolskoye,90,RU,1568603048,87,59.7,30.79,48.99,8.95
Komsomolskiy,100,RU,1568602475,88,67.55,63.78,41.81,9.44
Urusha,0,RU,1568603049,34,54.05,122.9,47.75,5.12
Nouadhibou,0,MR,1568603049,73,20.93,-17.03,71.6,14.99
Port Blair,100,IN,1568603049,85,11.67,92.75,80.15,20.29
Kodiak,1,US,1568603049,83,39.95,-94.76,79.0,4.7
Namie,75,JP,1568603050,100,37.52,140.86,75.0,12.75
Leningradskiy,89,RU,1568603050,80,69.38,178.42,42.71,14.0
Kenai,90,US,1568603050,81,60.55,-151.26,53.6,6.93
Namtsy,0,RU,1568603050,56,62.72,129.66,42.8,4.47
Bambous Virieux,75,MU,1568603051,93,-20.34,57.76,68.0,5.82
Marawi,60,PH,1568603051,65,8.0,124.29,84.99,5.99
Ganganagar,63,IN,1568603051,80,16.78,77.13,78.17,11.43
Souillac,0,FR,1568602576,63,45.6,-0.6,71.01,4.7
Airai,58,TL,1568602471,47,-8.93,125.41,81.41,6.96
Butaritari,0,KI,1568602494,71,3.07,172.79,85.01,13.49
Chokurdakh,100,RU,1568602507,64,70.62,147.9,50.63,8.72
Lahij,66,YE,1568603052,57,13.06,44.88,86.81,5.14
Vari,0,GR,1568603052,43,37.83,23.8,73.0,16.11
Pereleshino,0,RU,1568603052,50,51.74,40.14,53.6,8.95
Dingle,4,PH,1568603052,70,11.0,122.67,85.37,14.79
Methoni,0,GR,1568603053,43,36.82,21.7,75.0,4.7
Bakel,41,SN,1568603053,67,14.9,-12.46,84.65,13.56
Saint George,0,GR,1568603053,67,39.45,22.34,62.6,1.28
Saint-Philippe,90,CA,1568602468,82,45.36,-73.48,59.0,5.57
La Asuncion,98,AR,1568603054,34,-26.05,-65.39,63.95,4.38
El Zapote,100,GT,1568603054,97,15.65,-91.92,59.81,1.5
Atagay,65,RU,1568603054,79,55.1,99.39,42.35,7.36
Steamboat Springs,1,US,1568603054,41,40.48,-106.83,68.0,2.44
Saldanha,30,PT,1568602496,69,41.42,-6.55,64.13,4.21
Broome,100,GB,1568603055,93,52.47,1.45,60.01,3.36
Tura,87,RU,1568603055,81,64.27,100.22,33.89,4.23
Dikson,95,RU,1568602465,82,73.51,80.55,35.51,12.3
Carahue,0,CL,1568603055,93,-38.71,-73.16,39.2,2.24
Longyearbyen,75,NO,1568602521,69,78.22,15.63,39.2,19.46
Jamestown,100,AU,1568602485,71,-33.21,138.6,57.29,12.33
Chuy,100,UY,1568602529,96,-33.69,-53.46,61.25,6.67
Nara,20,JP,1568603056,58,34.68,135.8,88.0,1.12
Namibe,75,AO,1568603056,78,-15.19,12.15,65.93,4.0
Khandyga,67,RU,1568603056,51,62.65,135.58,50.09,4.63
Hasaki,75,JP,1568603056,100,35.73,140.83,73.4,14.99
Norman Wells,75,CA,1568603057,61,65.28,-126.83,46.4,8.05
Ternate,90,PH,1568603057,94,14.29,120.72,82.0,6.93
Kikwit,100,CD,1568603057,92,-5.04,18.82,70.61,2.35
Portland,90,US,1568602257,87,43.66,-70.25,64.0,3.78
Tungor,100,RU,1568603057,69,53.39,142.95,63.23,19.04
Barrow,4,AR,1568602469,77,-38.31,-60.23,41.27,1.63
Kayerkan,40,RU,1568603058,100,69.35,87.76,26.6,4.47
Karratha,47,AU,1568603058,7,-20.74,116.85,92.93,1.57
Hithadhoo,93,MV,1568602560,71,-0.6,73.08,83.21,8.28
Mindelo,0,PT,1568603058,93,41.31,-8.72,68.0,2.24
Kondinskoye,100,RU,1568603059,93,59.65,67.41,52.79,13.51
Umm Kaddadah,100,SD,1568603059,52,13.6,26.69,84.47,5.44
Homer,90,US,1568602797,93,59.64,-151.54,53.6,9.17
Constitucion,40,MX,1568603059,52,23.99,-104.67,69.01,4.7
George,72,MW,1568603060,98,-15.35,34.83,62.33,1.95
Brigantine,20,US,1568603060,88,39.41,-74.36,73.99,0.43
Hermanus,16,ZA,1568602489,97,-34.42,19.24,59.0,1.99
Mjolby,0,SE,1568603060,71,58.33,15.12,51.8,14.99
Kapaa,20,US,1568602486,70,22.08,-159.32,89.6,9.17
Tiksi,100,RU,1568602489,89,71.64,128.87,40.19,6.17
Zhuanghe,0,CN,1568603061,54,39.7,122.97,67.55,12.88
Zonguldak,27,TR,1568603061,78,41.25,31.83,68.45,8.57
Sitka,78,US,1568603061,48,37.17,-99.65,79.0,14.0
Aksu,0,KZ,1568603061,82,52.04,76.93,55.4,5.93
Catuday,100,PH,1568603062,83,16.29,119.81,81.41,18.21
Urambo,85,TZ,1568603062,49,-5.07,32.07,70.61,8.86
Bubaque,100,GW,1568603062,81,11.28,-15.83,81.77,11.41
